Longitude,Latitude,Longitude1,Latitude1,year,elevation,map,km
NA,NA,18.8206,68.3557,2012,388,302.58,1
NA,NA,22.3753,65.3131,2012,1,445.62,64
NA,NA,15.7694,62.5257,2012,140,531.76,3
NA,NA,23.622,66.3862,2012,75,641.52,61
NA,NA,19.0532,63.3266,2012,30,808.22,38
NA,NA,14.41,62.0471,2012,362,574.7,74
NA,NA,14.9446,57.0345,2012,180,770.08,70
NA,NA,15.0167,60.7256,2012,175,701.28,48
NA,NA,17.7085,65.0074,2012,280,615.9,22
NA,NA,14.6526,58.8121,2012,185,781.68,71
NA,NA,14.5301,59.7113,2012,185,870.64,21
NA,NA,17.884,60.4086,2012,25,754.4,53
NA,NA,17.7085,65.0074,2012,280,615.9,22
NA,NA,13.1866,61.6912,2012,425,671.1,65
NA,NA,15.2223,61.1684,2012,220,703.18,60
NA,NA,16.1451,60.638,2012,185,715.925,44
NA,NA,14.41,62.0471,2012,362,574.7,74
NA,NA,14.41,62.0471,2012,362,574.7,74
NA,NA,16.6034,59.5977,2012,10,687.54,83
NA,NA,13.4776,59.6082,2012,65,761.24,7
NA,NA,12.6043,62.5493,2012,585,597.52,52
NA,NA,20.9026,65.3373,2012,220,820.78,9
NA,NA,19.8316,66.6135,2012,240,715.3,33
NA,NA,20.9026,65.3373,2012,220,820.78,9
NA,NA,21.0846,67.8911,2012,328,611.94,8
NA,NA,19.8316,66.6135,2012,240,715.3,33
NA,NA,23.622,66.3862,2012,75,641.52,61
NA,NA,14.9804,60.2915,2012,190,773.36,56
NA,NA,21.0846,67.8911,2012,328,611.94,8
NA,NA,14.2238,64.5057,2012,550,712.86,16
NA,NA,18.0179,66.8876,2012,314,603.94,46
NA,NA,18.0179,66.8876,2012,314,603.94,46
NA,NA,17.0262,63.1466,2012,120,606.82,15
NA,NA,19.8316,66.6135,2012,240,715.3,33
NA,NA,15.7694,62.5257,2012,140,531.76,3
NA,NA,21.0846,67.8911,2012,328,611.94,8
NA,NA,16.9531,63.6849,2012,214,601.02,34
NA,NA,17.884,60.4086,2012,25,754.4,53
NA,NA,14.2896,56.0133,2012,10,580.84,45
NA,NA,22.3753,65.3131,2012,1,445.62,64
NA,NA,15.8045,60.0023,2012,100,706.16,10
NA,NA,13.4776,59.6082,2012,65,761.24,7
NA,NA,13.4776,59.6082,2012,65,761.24,7
NA,NA,14.9804,60.2915,2012,190,773.36,56
NA,NA,20.2398,63.813,2012,10,672.9,63
NA,NA,17.7085,65.0074,2012,280,615.9,22
NA,NA,14.2238,64.5057,2012,550,712.86,16
NA,NA,16.1451,60.638,2012,185,715.925,44
NA,NA,14.1004,57.4302,2012,180,958.5,67
NA,NA,16.9531,63.6849,2012,214,601.02,34
NA,NA,13.4776,59.6082,2012,65,761.24,7
NA,NA,17.7085,65.0074,2012,280,615.9,22
NA,NA,20.2398,63.813,2012,10,672.9,63
14.197667,56.727683,13.8822,56.8526,2016,148,685.244000004,42
15.28155,57.48945,15.5831,57.6167,2016,140,624.1400000040001,22
11.447733,59.023083,11.6077,57.6324,2016,12,588.567999996,75
14.667067,60.19535,14.9804,60.2915,2016,190,645.080000004,47
14.7358,62.0944,14.41,62.0471,2016,362,551.199999996,64
15.96495,63.839833,16.9531,63.6849,2016,214,541.7040000000001,28
18.204,65.292183,17.1126,65.8976,2016,505,640.100000004,36
17.8769,66.312017,18.0226,66.8834,2016,314,573.833333328,38
19.856433,67.0159,19.8316,66.6135,2016,240,602.01,27
21.087683,67.195467,21.0846,67.8911,2016,328,639.48,7
14.25231,60.08275,13.7975,60.1514,2017,190,718.179999996,17
14.57418,60.4766,14.9804,60.2915,2017,190,604.839999996,46
15.09667,60.74214,15.0167,60.7256,2017,175,545.2160000040001,38
14.82303,61.53767,15.2223,61.1684,2017,220,607.539999996,50
13.36111,62.36423,13.1866,61.6912,2017,425,627.36,55
15.65073,62.91776,15.7694,62.5257,2017,140,484.27500000000003,3
16.86144,63.67897,16.9531,63.6849,2017,214,516.444,27
14.39849,63.77042,14.2238,64.5057,2017,550,760.92,11
17.42845,64.500470000000007,16.9531,63.6849,2017,214,516.444,27
18.99695,64.81823,20.2398,63.813,2017,10,568.100000004,53
19.17442,65.90451,19.8316,66.6135,2017,240,606.03,26
19.25486,66.1293,19.8316,66.6135,2017,240,606.03,26
20.88412,66.14017,21.4776,65.2636,2017,5,665.979999996,52
21.52713,66.37273,21.4776,65.2636,2017,5,665.979999996,52
23.19288,66.99496,23.622,66.3862,2017,75,649.4000000039999,51
22.39649,67.4299,21.0846,67.8911,2017,328,624.36,7
23.16597,68.86295,21.0846,67.8911,2017,328,624.36,7
24.24192,69.37429,23.622,66.3862,2017,75,649.4000000039999,51
24.69435,69.4081,23.622,66.3862,2017,75,649.4000000039999,51
25.28016,69.44368,23.622,66.3862,2017,75,649.4000000039999,51
25.84433,69.49201,23.622,66.3862,2017,75,649.4000000039999,51
25.97481,69.71729,23.622,66.3862,2017,75,649.4000000039999,51
26.44857,69.92133,23.622,66.3862,2017,75,649.4000000039999,51
24.95641,70.00669,23.622,66.3862,2017,75,649.4000000039999,51
27.75475,70.07047,23.622,66.3862,2017,75,649.4000000039999,51
